Capellen,Bascharage
Echternach,Beaufort
Echternach,Bech
Redange,Beckerich
Echternach,Berdorf
Luxembourg,Bertrange
Esch-sur-Alzette,Bettembourg
Diekirch,Bettendorf
Grevenmacher,Betzdorf
Mersch,Bissen
Grevenmacher,Biwer
Mersch,Boevange-sur-Attert
Wiltz,Boulaide
Diekirch,Bourscheid
Remich,Bous
Remich,Burmerange
Capellen,Clemency
Clervaux,Clervaux
Mersch,Colmar-Berg
Echternach,Consdorf
Clervaux,Consthum
Luxembourg,Contern
Remich,Dalheim
Diekirch,Diekirch
Esch-sur-Alzette,Differdange
Capellen,Dippach
Esch-sur-Alzette,Dudelange
Echternach,Echternach
Redange,Ell
Diekirch,Ermsdorf
Diekirch,Erpeldange
Esch-sur-Alzette,Esch-sur-Alzette
Wiltz,Esch-sur-Sure
Wiltz,Eschweiler
Diekirch,Ettelbruck
Diekirch,Feulen
Mersch,Fischbach
Grevenmacher,Flaxweiler
Esch-sur-Alzette,Frisange
Capellen,Garnich
Wiltz,Goesdorf
Grevenmacher,Grevenmacher
Redange,Grosbous
Mersch,Heffingen
Wiltz,Heiderscheid
Clervaux,Heinerscheid
Luxembourg,Hesperange
Capellen,Hobscheid
Diekirch,Hoscheid
Clervaux,Hosingen
Grevenmacher,Junglinster
Esch-sur-Alzette,Kayl
Capellen,Kehlen
Wiltz,Kiischpelt
Capellen,Koerich
Capellen,Kopstal
Wiltz,Lac-de-la-Haute-Sure
Mersch,Larochette
Remich,Lenningen
Esch-sur-Alzette,Leudelange
Mersch,Lintgen
Mersch,Lorentzweiler
Luxembourg,Luxembourg
Capellen,Mamer
Grevenmacher,Manternach
Diekirch,Medernach
Mersch,Mersch
Grevenmacher,Mertert
Diekirch,Mertzig
Echternach,Mompach
Esch-sur-Alzette,Mondercange
Remich,Mondorf-les-Bains
Clervaux,Munshausen
Wiltz,Neunhausen
Luxembourg,Niederanven
Mersch,Nommern
Redange,Preizerdaul
Vianden,Putscheid
Esch-sur-Alzette,Petange
Redange,Rambrouch
Esch-sur-Alzette,Reckange-sur-Mess
Redange,Redange-sur-Attert
Diekirch,Reisdorf
Remich,Remich
Esch-sur-Alzette,Roeser
Echternach,Rosport
Esch-sur-Alzette,Rumelange
Redange,Saeul
Luxembourg,Sandweiler
Esch-sur-Alzette,Sanem
Remich,Schengen
Diekirch,Schieren
Esch-sur-Alzette,Schifflange
Luxembourg,Schuttrange
Capellen,Septfontaines
Remich,Stadtbredimus
Capellen,Steinfort
Luxembourg,Steinsel
Luxembourg,Strassen
Vianden,Tandel
Clervaux,Troisvierges
Mersch,Tuntange
Redange,Useldange
Vianden,Vianden
Redange,Vichten
Redange,Wahl
Echternach,Waldbillig
Remich,Waldbredimus
Luxembourg,Walferdange
Luxembourg,Weiler-la-Tour
Clervaux,Weiswampach
Remich,Wellenstein
Wiltz,Wiltz
Clervaux,Wincrange
Wiltz,Winseler
Grevenmacher,Wormeldange
